2022-11-15 13:24:30 INFO  User 'Cecilia' is requesting the use of service 'status'
2022-11-15 13:24:31 INFO  User 'Cecilia' with role 'power_user' is forbidden to use service 'status'
2022-11-15 13:24:31 INFO  User 'Cecilia' is requesting the use of service 'restart'
2022-11-15 13:24:31 INFO  User 'Cecilia' with role 'power_user' is allowed to use service 'restart'
2022-11-15 13:24:31 INFO  printer1-The Queue is cleared
2022-11-15 13:24:31 INFO  printer2-The Queue is cleared
2022-11-15 13:24:32 INFO  User 'Cecilia' authenticate successfully
2022-11-15 13:24:32 INFO  User 'Cecilia' is requesting the use of service 'setConfig'
2022-11-15 13:24:32 INFO  User 'Cecilia' with role 'power_user' is forbidden to use service 'setConfig'
2022-11-15 13:24:32 INFO  User 'Cecilia' is requesting the use of service 'readConfig'
2022-11-15 13:24:33 INFO  User 'Cecilia' with role 'power_user' is forbidden to use service 'readConfig'
2022-11-15 13:24:33 INFO  User 'Cecilia' is requesting the use of service 'stop'
2022-11-15 13:24:33 INFO  User 'Cecilia' with role 'power_user' is forbidden to use service 'stop'
2022-11-15 13:24:35 INFO  User 'David' authenticate successfully
2022-11-15 13:24:35 INFO  User 'David' is requesting the use of service 'start'
2022-11-15 13:24:35 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'start'
2022-11-15 13:24:35 INFO  User 'David' is requesting the use of service 'print'
2022-11-15 13:24:36 INFO  User 'David' with role 'ordinary_user' is allowed to use service 'print'
2022-11-15 13:24:36 INFO  printer1-test1_Cecilia has been added to the printing queue
2022-11-15 13:24:36 INFO  User 'David' is requesting the use of service 'queue'
2022-11-15 13:24:36 INFO  User 'David' with role 'ordinary_user' is allowed to use service 'queue'
2022-11-15 13:24:36 INFO  printer1-The current tasks are: 
<1> <test1_Cecilia>

2022-11-15 13:24:36 INFO  User 'David' is requesting the use of service 'print'
2022-11-15 13:24:37 INFO  User 'David' with role 'ordinary_user' is allowed to use service 'print'
2022-11-15 13:24:37 INFO  printer1-test2_Cecilia has been added to the printing queue
2022-11-15 13:24:37 INFO  User 'David' is requesting the use of service 'topQueue'
2022-11-15 13:24:37 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'topQueue'
2022-11-15 13:24:37 INFO  User 'David' is requesting the use of service 'status'
2022-11-15 13:24:38 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'status'
2022-11-15 13:24:38 INFO  User 'David' is requesting the use of service 'restart'
2022-11-15 13:24:38 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'restart'
2022-11-15 13:24:38 INFO  User 'David' is requesting the use of service 'setConfig'
2022-11-15 13:24:39 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'setConfig'
2022-11-15 13:24:39 INFO  User 'David' is requesting the use of service 'readConfig'
2022-11-15 13:24:39 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'readConfig'
2022-11-15 13:24:39 INFO  User 'David' is requesting the use of service 'stop'
2022-11-15 13:24:40 INFO  User 'David' with role 'ordinary_user' is forbidden to use service 'stop'
2022-11-15 13:24:41 INFO  User 'Alice' authenticate successfully
2022-11-15 13:24:41 INFO  User 'Alice' is requesting the use of service 'stop'
2022-11-15 13:24:42 INFO  User 'Alice' with role 'manager' is allowed to use service 'stop'
